TelCon,Content code,start,end,duration,content,topic
F34,p,7.404,9.205,1.801,cF,steel_wool
F34,s,9.205,9.691,0.486,silence,steel_wool
F34,p,9.691,10.292,0.601,rF,steel_wool
F34,ff,10.292,10.553,0.261,filler_cF filler_rF,steel_wool
F34,f,10.553,10.886,0.333,filler_rF,steel_wool
F34,s,10.886,12.832,1.946,silence,steel_wool
F34,p,12.832,14.278,1.446,rF,steel_wool
F34,f,14.278,14.875,0.597,filler_rF,steel_wool
F34,s,14.875,16.565,1.69,silence,steel_wool
F34,p,16.565,22.941,6.376,cF,steel_wool
F34,f,22.941,23.379,0.438,filler_cF,steel_wool
F34,pbc,23.379,23.849,0.47,bc_rF cF,steel_wool
F34,p,23.849,27.32,3.471,cF,steel_wool
F34,p,27.32,28.446,1.126,rF,steel_wool
F34,s,28.446,29.548,1.102,silence,steel_wool
F34,p,29.548,29.901,0.353,cF,steel_wool
F34,pp,29.901,30.95,1.049,cF rF,steel_wool
F34,p,30.95,31.496,0.546,cF,steel_wool
F34,l,31.496,31.95,0.454,laughter_cF,steel_wool
F34,s,31.95,32.455,0.505,silence,steel_wool
F34,f,32.455,32.822,0.367,filler_rF,steel_wool
F34,p,32.822,40.026,7.204,rF,steel_wool
F34,s,40.026,40.292,0.266,silence,steel_wool
F34,p,40.292,41.325,1.033,cF,steel_wool
F34,f,41.325,41.619,0.294,filler_cF,steel_wool
F34,p,41.619,49.051,7.432,cF,steel_wool
F34,s,49.051,49.253,0.202,silence,steel_wool
F34,p,49.253,52.28,3.027,rF,steel_wool
F34,s,52.28,52.557,0.277,silence,steel_wool
F34,p,52.557,53.461,0.904,cF,steel_wool
F34,f,53.461,54.15,0.689,filler_cF,steel_wool
F34,p,54.15,55.719,1.569,cF,steel_wool
F34,s,55.719,56.661,0.942,silence,steel_wool
F34,f,56.661,57.45,0.789,filler_rF,steel_wool
F34,p,57.45,62.056,4.606,rF,steel_wool
F34,s,62.056,62.376,0.32,silence,steel_wool
F34,p,62.376,63.267,0.891,cF,steel_wool
F34,pp,63.267,63.528,0.261,cF rF,steel_wool
F34,s,63.528,64.663,1.135,silence,steel_wool
F34,p,64.663,65.605,0.942,cF,steel_wool
F34,s,65.605,66.848,1.243,silence,steel_wool
F34,p,66.848,69.391,2.543,cF,axe
F34,s,69.391,69.87,0.479,silence,axe
F34,f,69.87,70.829,0.959,filler_rF,axe
F34,p,70.829,76.261,5.432,rF,axe
F34,pp,76.261,77.488,1.227,cF rF,axe
F34,p,77.488,84.752,7.264,cF,axe
F34,pbc,84.752,85.196,0.444,bc_rF cF,axe
F34,p,85.196,86.928,1.732,cF,axe
F34,l,86.928,87.382,0.454,laughter_cF,axe
F34,l,87.382,88.038,0.656,laughter_rF,axe
F34,fl,88.038,88.492,0.454,filler_cF laughter_rF,axe
F34,l,88.492,88.986,0.494,laughter_cF,axe
F34,pl,88.986,89.759,0.773,laughter_cF rF,axe
F34,p,89.759,89.978,0.219,cF,axe
F34,s,89.978,90.575,0.597,silence,axe
F34,p,90.575,90.928,0.353,cF,axe
F34,f,90.928,91.216,0.288,filler_cF,axe
F34,p,91.216,92.442,1.226,cF,axe
F34,s,92.442,92.677,0.235,silence,axe
F34,p,92.677,93.827,1.15,rF,axe
F34,s,93.827,95.669,1.842,silence,axe
F34,f,95.669,96.104,0.435,filler_cF,pistol
F34,p,96.104,97.645,1.541,cF,pistol
F34,s,97.645,98.461,0.816,silence,pistol
F34,f,98.461,99.124,0.663,filler_rF,pistol
F34,p,99.124,103.33,4.206,rF,pistol
F34,pbc,103.33,103.818,0.488,bc_cF rF,pistol
F34,p,103.818,104.827,1.009,rF,pistol
F34,f,104.827,105.348,0.521,filler_rF,pistol
F34,p,105.348,112.029,6.681,rF,pistol
F34,s,112.029,112.695,0.666,silence,pistol
F34,p,112.695,113.696,1.001,cF,pistol
F34,f,113.696,114.419,0.723,filler_cF,pistol
F34,p,114.419,119.287,4.868,cF,pistol
F34,f,119.287,119.657,0.37,filler_cF,pistol
F34,pp,119.657,120.052,0.395,cF rF,pistol
F34,p,120.052,129.461,9.409,rF,pistol
F34,s,129.461,130,0.539,silence,pistol
F34,p,130,133.22,3.22,cF,pistol
F34,s,133.22,133.498,0.278,silence,pistol
F34,p,133.498,134.162,0.664,rF,pistol
F34,s,134.162,134.389,0.227,silence,pistol
F34,p,134.389,135.769,1.38,cF,pistol
F34,p,135.769,138.803,3.034,cF,butter
F34,f,138.803,139.143,0.34,filler_cF,butter
F34,pp,139.143,139.774,0.631,cF rF,butter
F34,p,139.774,143.667,3.893,cF,butter
F34,pp,143.667,143.911,0.244,cF rF,butter
F34,pl,143.911,144.609,0.698,cF laughter_rF,butter
F34,ll,144.609,145.332,0.723,laughter_cF laughter_rF,butter
F34,pl,145.332,146.232,0.9,laughter_cF rF,butter
F34,p,146.232,147.277,1.045,rF,butter
F34,f,147.277,147.544,0.267,filler_cF,butter
F34,p,147.544,148.881,1.337,cF,butter
F34,s,148.881,149.217,0.336,silence,butter
F34,p,149.217,149.89,0.673,rF,butter
F34,s,149.89,150.206,0.316,silence,butter
F34,p,150.206,151.678,1.472,cF,butter
F34,f,151.678,152.174,0.496,filler_cF,newspaper
F34,p,152.174,153.317,1.143,cF,newspaper
F34,pp,153.317,153.519,0.202,cF rF,newspaper
F34,p,153.519,153.729,0.21,cF,newspaper
F34,s,153.729,154.629,0.9,silence,newspaper
F34,f,154.629,155.251,0.622,filler_rF,newspaper
F34,p,155.251,158.212,2.961,cF,newspaper
F34,pp,158.212,158.347,0.135,cF rF,newspaper
F34,p,158.347,160.692,2.345,cF,newspaper
F34,pbc,160.692,161.179,0.487,bc_rF cF,newspaper
F34,p,161.179,165.202,4.023,cF,newspaper
F34,pbc,165.202,165.628,0.426,bc_rF cF,newspaper
F34,p,165.628,166.38,0.752,cF,newspaper
F34,pbc,166.38,166.658,0.278,bc_rF cF,newspaper
F34,p,166.658,167.911,1.253,cF,newspaper
F34,f,167.911,168.323,0.412,filler_cF,lighter
F34,p,168.323,171.735,3.412,cF,lighter
F34,pp,171.735,172.98,1.245,cF rF,lighter
F34,l,172.98,173.626,0.646,laughter_rF,lighter
F34,ll,173.626,174.155,0.529,laughter_cF laughter_rF,lighter
F34,s,174.155,174.968,0.813,silence,lighter
F34,p,174.968,176.768,1.8,cF,lighter
F34,f,176.768,177.232,0.464,filler_cF,clothing
F34,pf,177.232,177.774,0.542,cF filler_rF,clothing
F34,pp,177.774,178.352,0.578,cF rF,clothing
F34,p,178.352,179.655,1.303,cF,clothing
F34,pp,179.655,180.134,0.479,cF rF,clothing
F34,p,180.134,182.302,2.168,rF,clothing
F34,p,182.302,185.411,3.109,cF,clothing
F34,p,185.411,190.334,4.923,cF,canvas
F34,p,190.334,191.427,1.093,rF,canvas
F34,p,191.427,194.59,3.163,cF,canvas
F34,pbc,194.59,195.127,0.537,bc_rF cF,canvas
F34,p,195.127,199.775,4.648,cF,canvas
F34,l,199.775,200.391,0.616,laughter_cF,canvas
F34,pl,200.391,200.952,0.561,cF laughter_rF,canvas
F34,pf,200.952,201.515,0.563,filler_cF rF,canvas
F34,p,201.515,202.861,1.346,cF,canvas
F34,pf,202.861,204.147,1.286,filler_cF rF,canvas
F34,p,204.147,204.719,0.572,rF,canvas
F34,s,204.719,205.056,0.337,silence,canvas
F34,p,205.056,206.971,1.915,cF,canvas
F34,p,206.971,209.847,2.876,cF,airmap
F34,s,209.847,210.107,0.26,silence,airmap
F34,p,210.107,216.649,6.542,rF,airmap
F34,s,216.649,216.969,0.32,silence,airmap
F34,p,216.969,218.42,1.451,cF,airmap
F34,f,218.42,218.954,0.534,filler_cF,whisky
F34,pf,218.954,219.392,0.438,cF filler_rF,whisky
F34,pp,219.392,220.255,0.863,cF rF,whisky
F34,s,220.255,221.23,0.975,silence,whisky
F34,p,221.23,224.367,3.137,rF,whisky
F34,pp,224.367,225.157,0.79,cF rF,whisky
F34,p,225.157,227.907,2.75,cF,whisky
F34,s,227.907,228.151,0.244,silence,whisky
F34,p,228.151,229.321,1.17,rF,whisky
F34,pp,229.321,229.675,0.354,cF rF,whisky
F34,p,229.675,232.054,2.379,rF,whisky
F34,pp,232.054,233.257,1.203,cF rF,whisky
F34,p,233.257,235.098,1.841,cF,whisky
F34,pbc,235.098,235.714,0.616,bc_rF cF,whisky
F34,p,235.714,241.553,5.839,cF,whisky
F34,pbc,241.553,241.985,0.432,bc_rF cF,whisky
F34,f,241.985,242.456,0.471,filler_cF,whisky
F34,p,242.456,245.418,2.962,cF,whisky
F34,p,245.418,249.824,4.406,rF,whisky
F34,s,249.824,250.11,0.286,silence,whisky
F34,p,250.11,251.337,1.227,cF,whisky
F34,f,251.337,251.733,0.396,filler_cF,compass
F34,p,251.733,252.91,1.177,cF,compass
F34,s,252.91,254.233,1.323,silence,compass
F34,p,254.233,254.923,0.69,rF,compass
F34,pp,254.923,255.244,0.321,cF rF,compass
F34,p,255.244,256.775,1.531,cF,compass
F34,pp,256.775,257.801,1.026,cF rF,compass
F34,p,257.801,258.835,1.034,cF,compass
F34,p,258.835,259.607,0.772,rF,compass
